id,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,day,month,year
JMAN_2429072,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_9043466,16,1.0,3.0,1,0,1,0,0,1,13,1,2023
JMAN_2452556,17,1.0,3.0,1,0,1,0,0,1,24,2,2023
JMAN_2455113,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_18127937,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_2373631,0,1.0,0.0,1,0,1,1,0,0,3,3,2023
JMAN_2447279,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_9004478,17,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_2477864,0,1.0,0.0,1,0,1,1,0,0,24,3,2023
JMAN_2445629,16,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_9034877,17,1.0,3.0,1,0,1,0,0,1,17,3,2023
JMAN_14450264,6,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_18839586,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_12250851,0,0.5,1.0,1,0,1,0,1,0,3,3,2023
JMAN_9601250,13,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_9016831,16,1.0,3.0,1,0,1,0,0,1,27,1,2023
JMAN_18411228,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_10361494,0,1.0,1.0,1,0,0,0,1,0,24,3,2023
JMAN_18409952,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_2468132,0,0.3333333333333333,1.0,1,0,1,0,1,0,17,2,2023
JMAN_9005782,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_9023427,0,1.0,0.0,1,0,1,1,0,0,3,3,2023
JMAN_9002816,0,1.0,0.0,1,0,1,1,0,0,27,1,2023
JMAN_18391384,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9773302,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_13717602,3,1.0,2.0,1,0,1,0,0,1,3,3,2023
JMAN_2468379,17,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_2475116,17,1.0,2.0,1,0,1,0,0,1,3,3,2023
JMAN_11710046,4,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_11265556,0,1.0,1.0,1,0,1,0,1,0,24,3,2023
JMAN_9034116,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_9744797,0,1.0,0.0,1,0,1,1,0,0,3,3,2023
JMAN_2472023,17,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_2459144,0,1.0,1.0,1,1,1,0,1,0,24,2,2023
JMAN_9810546,26,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_2461321,13,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_10303029,8,1.0,3.0,1,0,1,0,0,1,13,1,2023
JMAN_2457086,17,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_2478859,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_10078002,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9839217,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9387901,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_2460501,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_11272416,5,1.0,2.0,1,0,1,0,0,1,27,1,2023
JMAN_9022859,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_2439655,0,1.0,0.0,1,0,1,1,0,0,31,3,2023
JMAN_10190396,7,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_9552552,12,1.0,2.0,1,0,0,0,0,1,20,1,2023
JMAN_14142262,2,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_9275311,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9003648,16,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_476335,17,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_11126390,6,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_9043466,17,1.0,3.0,1,0,1,0,0,1,24,2,2023
JMAN_2328487,0,1.0,0.0,1,0,1,1,0,0,3,3,2023
JMAN_18354320,0,1.0,1.0,1,0,1,0,1,0,24,3,2023
JMAN_9004984,0,1.0,0.0,1,0,1,1,0,0,27,1,2023
JMAN_10967092,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_9999715,10,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_2458864,0,1.0,1.0,1,0,1,0,1,0,20,1,2023
JMAN_12791979,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_9008035,14,1.0,2.0,1,0,0,0,0,1,24,2,2023
JMAN_9008035,14,1.0,2.0,1,0,0,0,0,1,27,1,2023
JMAN_9203571,15,1.0,3.0,1,0,1,0,0,1,17,3,2023
