id,score_date,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,subscription_renewal
JMAN_2429072,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9043466,2023-01-13,16,1.0,3.0,1,0,1,0,0,1,13
JMAN_2452556,2023-02-24,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2455113,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_18127937,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_2373631,2023-03-03,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2447279,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9004478,2023-01-20,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2477864,2023-03-24,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2445629,2023-01-20,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_9034877,2023-03-17,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_14450264,2023-03-17,6,1.0,2.0,1,0,1,0,0,1,13
JMAN_18839586,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_12250851,2023-03-03,0,0.5,1.0,1,0,1,0,1,0,13
JMAN_9601250,2023-01-13,13,1.0,2.0,1,0,1,0,0,1,13
JMAN_9016831,2023-01-27,16,1.0,3.0,1,0,1,0,0,1,13
JMAN_18411228,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_10361494,2023-03-24,0,1.0,1.0,1,0,0,0,1,0,12
JMAN_18409952,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2468132,2023-02-17,0,0.3333333333333333,1.0,1,0,1,0,1,0,13
JMAN_9005782,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9023427,2023-03-03,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9002816,2023-01-27,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_18391384,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9773302,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_13717602,2023-03-03,3,1.0,2.0,1,0,1,0,0,1,13
JMAN_2468379,2023-02-24,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2475116,2023-03-03,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_11710046,2023-01-20,4,1.0,2.0,1,0,1,0,0,1,13
JMAN_11265556,2023-03-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9034116,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9744797,2023-03-03,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_2472023,2023-01-13,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2459144,2023-02-24,0,1.0,1.0,1,1,1,0,1,0,13
JMAN_9810546,2023-01-20,26,1.0,2.0,1,0,1,0,0,1,13
JMAN_2461321,2023-03-24,13,1.0,2.0,1,0,1,0,0,1,13
JMAN_10303029,2023-01-13,8,1.0,3.0,1,0,1,0,0,1,13
JMAN_2457086,2023-03-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2478859,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_10078002,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9839217,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_9387901,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2460501,2023-03-10,0,1.0,,1,0,1,1,0,0,13
JMAN_11272416,2023-01-27,5,1.0,2.0,1,0,1,0,0,1,13
JMAN_9022859,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_2439655,2023-03-31,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_10190396,2023-02-24,7,1.0,2.0,1,0,1,0,0,1,13
JMAN_9552552,2023-01-20,12,1.0,2.0,1,0,0,0,0,1,7
JMAN_14142262,2023-01-20,2,1.0,2.0,1,0,1,0,0,1,13
JMAN_9275311,2023-01-06,0,1.0,,1,0,1,1,0,0,13
JMAN_9003648,2023-01-20,16,1.0,2.0,1,0,1,0,0,1,13
JMAN_476335,2023-02-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_11126390,2023-02-17,6,1.0,2.0,1,0,1,0,0,1,13
JMAN_9043466,2023-02-24,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_2328487,2023-03-03,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_18354320,2023-03-24,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9004984,2023-01-27,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_10967092,2023-03-03,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9999715,2023-02-24,10,1.0,2.0,1,0,1,0,0,1,13
JMAN_2458864,2023-01-20,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_12791979,2023-01-13,0,1.0,1.0,1,0,1,0,1,0,13
JMAN_9008035,2023-02-24,14,1.0,2.0,1,0,0,0,0,1,12
JMAN_9008035,2023-01-27,14,1.0,2.0,1,0,0,0,0,1,12
JMAN_9203571,2023-03-17,15,1.0,3.0,1,0,1,0,0,1,13
JMAN_14450264,2023-03-24,6,1.0,2.0,1,0,1,0,0,1,13
JMAN_9669396,2023-02-03,0,1.0,,1,0,1,1,0,0,13
JMAN_12472512,2023-02-24,3,1.0,2.0,1,0,1,0,0,1,13
JMAN_9003424,2023-02-17,17,1.0,3.0,1,0,1,0,0,1,13
JMAN_9023808,2023-01-13,0,1.0,0.0,1,0,1,1,0,0,13
JMAN_9327351,2023-02-10,0,1.0,,1,0,1,1,0,0,13
JMAN_18410807,2023-01-20,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_2437417,2023-03-17,17,1.0,2.0,1,0,1,0,0,1,13
JMAN_9021938,2023-03-24,17,1.0,3.0,1,0,1,0,0,1,13
