id,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,subscription_renewal
2429072,0,1.0,,1,0,1,1,0,0,13
9043466,16,1.0,3.0,1,0,1,0,0,1,13
2452556,17,1.0,3.0,1,0,1,0,0,1,13
2455113,0,1.0,1.0,1,0,1,0,1,0,13
18127937,0,1.0,,1,0,1,1,0,0,13
2373631,0,1.0,0.0,1,0,1,1,0,0,13
2447279,0,1.0,1.0,1,0,1,0,1,0,13
9004478,17,1.0,2.0,1,0,1,0,0,1,13
2477864,0,1.0,0.0,1,0,1,1,0,0,13
2445629,16,1.0,2.0,1,0,1,0,0,1,13
9034877,17,1.0,3.0,1,0,1,0,0,1,13
14450264,6,1.0,2.0,1,0,1,0,0,1,13
18839586,0,1.0,,1,0,1,1,0,0,13
12250851,0,0.5,1.0,1,0,1,0,1,0,13
9601250,13,1.0,2.0,1,0,1,0,0,1,13
9016831,16,1.0,3.0,1,0,1,0,0,1,13
18411228,0,1.0,,1,0,1,1,0,0,13
10361494,0,1.0,1.0,1,0,0,0,1,0,12
18409952,0,1.0,1.0,1,0,1,0,1,0,13
2468132,0,0.3333333333333333,1.0,1,0,1,0,1,0,13
9005782,0,1.0,,1,0,1,1,0,0,13
9023427,0,1.0,0.0,1,0,1,1,0,0,13
9002816,0,1.0,0.0,1,0,1,1,0,0,13
18391384,0,1.0,,1,0,1,1,0,0,13
9773302,0,1.0,,1,0,1,1,0,0,13
13717602,3,1.0,2.0,1,0,1,0,0,1,13
2468379,17,1.0,2.0,1,0,1,0,0,1,13
2475116,17,1.0,2.0,1,0,1,0,0,1,13
11710046,4,1.0,2.0,1,0,1,0,0,1,13
11265556,0,1.0,1.0,1,0,1,0,1,0,13
9034116,0,1.0,,1,0,1,1,0,0,13
9744797,0,1.0,0.0,1,0,1,1,0,0,13
2472023,17,1.0,2.0,1,0,1,0,0,1,13
2459144,0,1.0,1.0,1,1,1,0,1,0,13
9810546,26,1.0,2.0,1,0,1,0,0,1,13
2461321,13,1.0,2.0,1,0,1,0,0,1,13
10303029,8,1.0,3.0,1,0,1,0,0,1,13
2457086,17,1.0,2.0,1,0,1,0,0,1,13
2478859,0,1.0,1.0,1,0,1,0,1,0,13
10078002,0,1.0,,1,0,1,1,0,0,13
9839217,0,1.0,,1,0,1,1,0,0,13
9387901,0,1.0,1.0,1,0,1,0,1,0,13
2460501,0,1.0,,1,0,1,1,0,0,13
11272416,5,1.0,2.0,1,0,1,0,0,1,13
9022859,0,1.0,1.0,1,0,1,0,1,0,13
2439655,0,1.0,0.0,1,0,1,1,0,0,13
10190396,7,1.0,2.0,1,0,1,0,0,1,13
9552552,12,1.0,2.0,1,0,0,0,0,1,7
14142262,2,1.0,2.0,1,0,1,0,0,1,13
9275311,0,1.0,,1,0,1,1,0,0,13
9003648,16,1.0,2.0,1,0,1,0,0,1,13
